Cod_Mun,Mun,Referência,Pes_PBF,Pes_Cad,F_PBF_Domi,F_PBF_EP,F_CAD_EP
35136031020,Cunha,10/20,5162.0,10156.0,22.16,0.0,1208.0
35137021020,Descalvado,10/20,2114.0,5811.0,5.81,0.0,432.0
35138011020,Diadema,10/20,50677.0,119338.0,13.44,0.0,19974.0
35138501020,Dirce Reis,10/20,158.0,889.0,8.81,0.0,41.0
35139001020,Divinolândia,10/20,1504.0,3445.0,12.58,0.0,496.0
35140071020,Dobrada,10/20,1229.0,2591.0,12.75,0.0,469.0
35141061020,Dois Córregos,10/20,3123.0,7350.0,10.96,0.0,755.0
35142051020,Dolcinópolis,10/20,213.0,1000.0,9.44,0.0,143.0
35143041020,Dourado,10/20,1330.0,2554.0,13.53,0.0,505.0
35144031020,Dracena,10/20,2466.0,9123.0,5.16,0.0,622.0
35145021020,Duartina,10/20,1244.0,4618.0,8.77,0.0,181.0
35146011020,Dumont,10/20,990.0,2194.0,9.82,0.0,348.0
35147001020,Echaporã,10/20,1294.0,3078.0,20.64,0.0,610.0
35148091020,Eldorado,10/20,3728.0,7302.0,22.96,0.0,836.0
35149081020,Elias Fausto,10/20,2978.0,5687.0,17.28,0.0,1385.0
35149241020,Elisiário,10/20,409.0,963.0,11.67,0.0,217.0
35149571020,Embaúba,10/20,179.0,487.0,7.09,0.0,75.0
35150041020,Embu das Artes,10/20,45430.0,94632.0,18.68,0.0,17206.0
35151031020,Embu-Guaçu,10/20,13543.0,32312.0,20.7,0.0,5800.0
35151291020,Emilianópolis,10/20,447.0,1308.0,13.46,0.0,117.0
35151521020,Engenheiro Coelho,10/20,2089.0,7292.0,9.61,0.0,588.0
35151861020,Espírito Santo do Pinhal,10/20,2630.0,5982.0,6.31,0.0,824.0
35151941020,Espírito Santo do Turvo,10/20,423.0,1975.0,7.49,0.0,67.0
35152021020,Estrela d'Oeste,10/20,661.0,3199.0,7.45,0.0,228.0
35153011020,Estrela do Norte,10/20,218.0,956.0,8.75,0.0,86.0
35153501020,Euclides da Cunha Paulista,10/20,2199.0,4666.0,23.54,0.0,697.0
35154001020,Fartura,10/20,1935.0,6270.0,11.86,0.0,613.0
35155091020,Fernandópolis,10/20,5916.0,17709.0,8.32,0.0,2691.0
35156081020,Fernando Prestes,10/20,448.0,1292.0,6.66,0.0,108.0
35156571020,Fernão,10/20,235.0,635.0,12.05,0.0,46.0
35157071020,Ferraz de Vasconcelos,10/20,27184.0,57614.0,14.71,0.0,10122.0
35158061020,Flora Rica,10/20,211.0,639.0,10.62,0.0,58.0
35159051020,Floreal,10/20,320.0,1218.0,9.3,0.0,162.0
35160021020,Flórida Paulista,10/20,1803.0,3604.0,16.29,0.0,618.0
35161011020,Florínea,10/20,644.0,1814.0,24.62,0.0,280.0
35162001020,Franca,10/20,24826.0,61420.0,7.09,0.0,7571.0
35163091020,Francisco Morato,10/20,38294.0,74346.0,22.81,0.0,14133.0
35164081020,Franco da Rocha,10/20,23645.0,46754.0,17.31,0.0,9261.0
35165071020,Gabriel Monteiro,10/20,194.0,1002.0,5.76,0.0,53.0
35166061020,Gália,10/20,469.0,2123.0,5.96,0.0,72.0
35167051020,Garça,10/20,6078.0,15908.0,13.98,0.0,1623.0
35168041020,Gastão Vidigal,10/20,302.0,1208.0,6.02,0.0,67.0
35168531020,Gavião Peixoto,10/20,550.0,1203.0,10.87,0.0,105.0
35169031020,General Salgado,10/20,855.0,2782.0,7.5,0.0,257.0
35170001020,Getulina,10/20,1512.0,3401.0,16.63,0.0,526.0
35171091020,Glicério,10/20,594.0,2035.0,12.08,0.0,284.0
35172081020,Guaiçara,10/20,1207.0,3670.0,9.4,0.0,377.0
35173071020,Guaimbê,10/20,1244.0,2485.0,22.49,0.0,498.0
35174061020,Guaíra,10/20,4167.0,8996.0,11.09,0.0,1368.0
35175051020,Guapiaçu,10/20,1244.0,3548.0,5.14,0.0,317.0
35176041020,Guapiara,10/20,3649.0,9398.0,19.57,0.0,888.0
35177031020,Guará,10/20,2866.0,5182.0,12.57,0.0,745.0
35178021020,Guaraçaí,10/20,961.0,3166.0,10.02,0.0,260.0
35179011020,Guaraci,10/20,1637.0,3245.0,14.64,0.0,624.0
35180081020,Guarani d'Oeste,10/20,286.0,1209.0,13.55,0.0,98.0
35181071020,Guarantã,10/20,1289.0,2770.0,20.33,0.0,616.0
35182061020,Guararapes,10/20,2560.0,7303.0,6.66,0.0,414.0
35183051020,Guararema,10/20,5467.0,12199.0,18.11,0.0,2174.0
35184041020,Guaratinguetá,10/20,10984.0,23791.0,8.97,0.0,3333.0
35185031020,Guareí,10/20,1526.0,4293.0,10.83,0.0,356.0
35186021020,Guariba,10/20,4322.0,7927.0,9.71,0.0,1115.0
35187011020,Guarujá,10/20,29564.0,61516.0,9.31,0.0,7244.0
35188001020,Guarulhos,10/20,148460.0,342983.0,11.04,0.0,45734.0
35188591020,Guatapará,10/20,1325.0,2440.0,18.19,0.0,468.0
35189091020,Guzolândia,10/20,590.0,2155.0,10.13,0.0,93.0
35190061020,Herculândia,10/20,1627.0,2960.0,16.11,0.0,482.0
35190551020,Holambra,10/20,299.0,1187.0,2.18,0.0,148.0
35190711020,Hortolândia,10/20,26589.0,55887.0,12.05,0.0,10576.0
35191051020,Iacanga,10/20,1327.0,4198.0,11.72,0.0,651.0
35192041020,Iacri,10/20,872.0,2326.0,13.61,0.0,290.0
35192531020,Iaras,10/20,1034.0,2368.0,21.86,0.0,373.0
35193031020,Ibaté,10/20,5672.0,9120.0,16.51,0.0,1922.0
35194021020,Ibirá,10/20,1358.0,2835.0,10.23,0.0,383.0
35195011020,Ibirarema,10/20,1807.0,3829.0,24.39,0.0,873.0
35196001020,Ibitinga,10/20,5442.0,13217.0,9.16,0.0,1687.0
35197091020,Ibiúna,10/20,11756.0,21290.0,13.42,0.0,3091.0
35198081020,Icém,10/20,920.0,2345.0,11.76,0.0,363.0
35199071020,Iepê,10/20,1234.0,3363.0,16.64,0.0,505.0
35200041020,Igaraçu do Tietê,10/20,4022.0,7442.0,16.6,0.0,1476.0
35201031020,Igarapava,10/20,2333.0,6086.0,6.62,0.0,396.0
35202021020,Igaratá,10/20,1883.0,3936.0,18.42,0.0,533.0
35203011020,Iguape,10/20,8161.0,15256.0,26.38,0.0,2207.0
35204001020,Ilhabela,10/20,2459.0,7855.0,6.98,0.0,757.0
35204261020,Ilha Comprida,10/20,2708.0,7431.0,23.78,0.0,855.0
35204421020,Ilha Solteira,10/20,1243.0,5576.0,4.02,0.0,238.0
35205091020,Indaiatuba,10/20,8329.0,33937.0,3.12,0.0,1592.0
35206081020,Indiana,10/20,689.0,1887.0,13.36,0.0,224.0
35207071020,Indiaporã,10/20,565.0,1827.0,14.9,0.0,286.0
35208061020,Inúbia Paulista,10/20,282.0,1247.0,7.45,0.0,102.0
35209051020,Ipaussu,10/20,1803.0,4407.0,12.24,0.0,589.0
35210021020,Iperó,10/20,4551.0,9718.0,13.56,0.0,1223.0
35211011020,Ipeúna,10/20,689.0,1750.0,8.4,0.0,184.0
35211501020,Ipiguá,10/20,603.0,1370.0,10.54,0.0,245.0
35212001020,Iporanga,10/20,1281.0,2633.0,29.07,0.0,434.0
35213091020,Ipuã,10/20,1967.0,5663.0,11.83,0.0,542.0
35214081020,Iracemápolis,10/20,1343.0,3252.0,5.47,0.0,388.0
35215071020,Irapuã,10/20,1047.0,2336.0,12.59,0.0,479.0
35216061020,Irapuru,10/20,1234.0,2470.0,18.9,0.0,409.0
35217051020,Itaberá,10/20,4299.0,8113.0,24.81,0.0,1456.0
35218041020,Itaí,10/20,2732.0,6804.0,10.45,0.0,576.0
35219031020,Itajobi,10/20,1552.0,3344.0,8.94,0.0,467.0
35220001020,Itaju,10/20,353.0,1023.0,8.26,0.0,87.0
35221091020,Itanhaém,10/20,25533.0,46927.0,26.22,0.0,12127.0
35221581020,Itaoca,10/20,1124.0,1647.0,37.38,0.0,344.0
35222081020,Itapecerica da Serra,10/20,17932.0,52485.0,11.19,0.0,6555.0
