Cod_Mun,Mun,Referencia,Pes_PBF,Pes_Cad,F_PBF_Domi,F_PBF_EP,F_CAD_EP
35501000120,São Manuel,01/20,2434.0,10255,"5,42",172,210.0
35502090120,São Miguel Arcanjo,01/20,4456.0,10083,"12,26",762,833.0
35503080120,São Paulo,01/20,1083790.0,3353966,"9,66",300802,455464.0
35504070120,São Pedro,01/20,3976.0,7314,"10,50",1054,1452.0
35505060120,São Pedro do Turvo,01/20,906.0,2231,"11,97",177,262.0
35506050120,São Roque,01/20,6249.0,16400,"6,85",1441,2077.0
35507040120,São Sebastião,01/20,9842.0,22427,"10,84",2855,4194.0
35508030120,São Sebastião da Grama,01/20,572.0,2633,"4,02",66,78.0
35509020120,São Simão,01/20,1127.0,3249,"6,08",150,226.0
35510090120,São Vicente,01/20,28171.0,59642,"7,43",7151,10089.0
35511080120,Sarapuí,01/20,830.0,2456,"6,53",75,102.0
35512070120,Sarutaiá,01/20,524.0,1837,"13,29",132,197.0
35513060120,Sebastianópolis do Sul,01/20,435.0,1912,"12,83",139,217.0
35514050120,Serra Azul,01/20,2616.0,4178,"32,50",910,1210.0
35515040120,Serrana,01/20,5510.0,11578,"12,61",1564,2126.0
35516030120,Serra Negra,01/20,1631.0,5271,"4,78",218,310.0
35517020120,Sertãozinho,01/20,11613.0,25408,"9,45",2843,3833.0
35518010120,Sete Barras,01/20,2997.0,7389,"21,49",533,667.0
35519000120,Severínia,01/20,2598.0,4916,"13,62",609,752.0
35520070120,Silveiras,01/20,1276.0,2598,"16,91",214,282.0
35521060120,Socorro,01/20,3378.0,7998,"8,01",757,1106.0
35522050120,Sorocaba,01/20,45585.0,119499,"6,81",9238,13581.0
35523040120,Sud Mennucci,01/20,576.0,2875,"6,49",109,205.0
35524030120,Sumaré,01/20,22028.0,63577,"7,49",5689,8435.0
35525020120,Suzano,01/20,36719.0,100572,"12,44",6998,9721.0
35525510120,Suzanápolis,01/20,425.0,1820,"10,15",101,132.0
35526010120,Tabapuã,01/20,1649.0,3629,"13,28",456,583.0
35527000120,Tabatinga,01/20,1259.0,3558,"6,52",194,283.0
35528090120,Taboão da Serra,01/20,25462.0,75431,"9,21",6394,9164.0
35529080120,Taciba,01/20,924.0,2439,"13,98",200,255.0
35530050120,Taguaí,01/20,1058.0,3626,"7,14",195,302.0
35531040120,Taiaçu,01/20,1290.0,2740,"18,40",317,411.0
35532030120,Taiúva,01/20,460.0,1386,"6,75",105,152.0
35533020120,Tambaú,01/20,3295.0,6730,"14,37",992,1380.0
35534010120,Tanabi,01/20,4656.0,8770,"18,97",1611,1863.0
35535000120,Tapiraí,01/20,1416.0,3915,"15,83",257,327.0
35536090120,Tapiratiba,01/20,1507.0,3038,"11,30",378,525.0
35536580120,Taquaral,01/20,181.0,996,"5,27",20,29.0
35537080120,Taquaritinga,01/20,6841.0,14070,"10,79",1431,1828.0
35538070120,Taquarituba,01/20,2643.0,7913,"11,19",559,742.0
35538560120,Taquarivaí,01/20,1790.0,3753,"33,68",549,714.0
35539060120,Tarabai,01/20,763.0,2184,"10,52",175,226.0
35539550120,Tarumã,01/20,1637.0,5338,"10,48",316,456.0
35540030120,Tatuí,01/20,9939.0,26519,"7,65",1654,2374.0
35541020120,Taubaté,01/20,17944.0,59254,"5,11",2762,3283.0
35542010120,Tejupá,01/20,806.0,2060,"13,83",97,125.0
35543000120,Teodoro Sampaio,01/20,4174.0,9496,"18,00",920,1210.0
35544090120,Terra Roxa,01/20,544.0,2229,"5,39",93,142.0
35545080120,Tietê,01/20,2154.0,8508,"5,08",487,775.0
35546070120,Timburi,01/20,469.0,1245,"17,65",125,149.0
35546560120,Torre de Pedra,01/20,367.0,1046,"12,73",88,129.0
35547060120,Torrinha,01/20,853.0,2894,"7,70",119,177.0
35547550120,Trabiju,01/20,412.0,841,"25,96",131,202.0
35548050120,Tremembé,01/20,6101.0,10410,"14,32",1558,1909.0
35549040120,Três Fronteiras,01/20,621.0,2571,"9,61",164,254.0
